Series ID,Year,Period,Label,Value,1-Month Net Change
APU0000708111,1980,M01,1980 Jan,0.879, N/A
APU0000708111,1980,M02,1980 Feb,0.774,-0.105
APU0000708111,1980,M03,1980 Mar,0.812,0.038
APU0000708111,1980,M04,1980 Apr,0.797,-0.015
APU0000708111,1980,M05,1980 May,0.737,-0.060
APU0000708111,1980,M06,1980 Jun,0.731,-0.006
APU0000708111,1980,M07,1980 Jul,0.776,0.045
APU0000708111,1980,M08,1980 Aug,0.907,0.131
APU0000708111,1980,M09,1980 Sep,0.898,-0.009
APU0000708111,1980,M10,1980 Oct,0.867,-0.031
APU0000708111,1980,M11,1980 Nov,0.917,0.050
APU0000708111,1980,M12,1980 Dec,1.031,0.114
APU0000708111,1981,M01,1981 Jan,0.943,-0.088
APU0000708111,1981,M02,1981 Feb,0.924,-0.019
APU0000708111,1981,M03,1981 Mar,0.875,-0.049
APU0000708111,1981,M04,1981 Apr,0.904,0.029
APU0000708111,1981,M05,1981 May,0.836,-0.068
APU0000708111,1981,M06,1981 Jun,0.852,0.016
APU0000708111,1981,M07,1981 Jul,0.860,0.008
APU0000708111,1981,M08,1981 Aug,0.868,0.008
APU0000708111,1981,M09,1981 Sep,0.915,0.047
APU0000708111,1981,M10,1981 Oct,0.898,-0.017
APU0000708111,1981,M11,1981 Nov,0.943,0.045
APU0000708111,1981,M12,1981 Dec,0.966,0.023
APU0000708111,1982,M01,1982 Jan,0.925,-0.041
APU0000708111,1982,M02,1982 Feb,1.007,0.082
APU0000708111,1982,M03,1982 Mar,0.952,-0.055
APU0000708111,1982,M04,1982 Apr,0.896,-0.056
APU0000708111,1982,M05,1982 May,0.842,-0.054
APU0000708111,1982,M06,1982 Jun,0.783,-0.059
APU0000708111,1982,M07,1982 Jul,0.851,0.068
APU0000708111,1982,M08,1982 Aug,0.778,-0.073
APU0000708111,1982,M09,1982 Sep,0.852,0.074
APU0000708111,1982,M10,1982 Oct,0.854,0.002
APU0000708111,1982,M11,1982 Nov,0.849,-0.005
APU0000708111,1982,M12,1982 Dec,0.813,-0.036
APU0000708111,1983,M01,1983 Jan,0.821,0.008
APU0000708111,1983,M02,1983 Feb,0.794,-0.027
APU0000708111,1983,M03,1983 Mar,0.836,0.042
APU0000708111,1983,M04,1983 Apr,0.825,-0.011
APU0000708111,1983,M05,1983 May,0.865,0.040
APU0000708111,1983,M06,1983 Jun,0.825,-0.040
APU0000708111,1983,M07,1983 Jul,0.847,0.022
APU0000708111,1983,M08,1983 Aug,0.884,0.037
APU0000708111,1983,M09,1983 Sep,0.938,0.054
APU0000708111,1983,M10,1983 Oct,0.962,0.024
APU0000708111,1983,M11,1983 Nov,0.996,0.034
APU0000708111,1983,M12,1983 Dec,1.131,0.135
APU0000708111,1984,M01,1984 Jan,1.301,0.170
APU0000708111,1984,M02,1984 Feb,1.324,0.023
APU0000708111,1984,M03,1984 Mar,1.153,-0.171
APU0000708111,1984,M04,1984 Apr,1.199,0.046
APU0000708111,1984,M05,1984 May,1.054,-0.145
APU0000708111,1984,M06,1984 Jun,0.903,-0.151
APU0000708111,1984,M07,1984 Jul,0.876,-0.027
APU0000708111,1984,M08,1984 Aug,0.860,-0.016
APU0000708111,1984,M09,1984 Sep,0.854,-0.006
APU0000708111,1984,M10,1984 Oct,0.842,-0.012
APU0000708111,1984,M11,1984 Nov,0.823,-0.019
APU0000708111,1984,M12,1984 Dec,0.867,0.044
APU0000708111,1985,M01,1985 Jan,0.746,-0.121
APU0000708111,1985,M02,1985 Feb,0.784,0.038
APU0000708111,1985,M03,1985 Mar,0.790,0.006
APU0000708111,1985,M04,1985 Apr,0.783,-0.007
APU0000708111,1985,M05,1985 May,0.745,-0.038
APU0000708111,1985,M06,1985 Jun,0.724,-0.021
APU0000708111,1985,M07,1985 Jul,0.787,0.063
APU0000708111,1985,M08,1985 Aug,0.789,0.002
APU0000708111,1985,M09,1985 Sep,0.857,0.068
APU0000708111,1985,M10,1985 Oct,0.860,0.003
APU0000708111,1985,M11,1985 Nov,0.872,0.012
APU0000708111,1985,M12,1985 Dec,0.906,0.034
APU0000708111,1986,M01,1986 Jan,0.901,-0.005
APU0000708111,1986,M02,1986 Feb,0.866,-0.035
APU0000708111,1986,M03,1986 Mar,0.887,0.021
APU0000708111,1986,M04,1986 Apr,0.890,0.003
APU0000708111,1986,M05,1986 May,0.820,-0.070
APU0000708111,1986,M06,1986 Jun,0.795,-0.025
APU0000708111,1986,M07,1986 Jul,0.833,0.038
APU0000708111,1986,M08,1986 Aug,0.913,0.080
APU0000708111,1986,M09,1986 Sep,0.868,-0.045
APU0000708111,1986,M10,1986 Oct,0.855,-0.013
APU0000708111,1986,M11,1986 Nov,0.897,0.042
APU0000708111,1986,M12,1986 Dec,0.910,0.013
APU0000708111,1987,M01,1987 Jan,0.862,-0.048
APU0000708111,1987,M02,1987 Feb,0.823,-0.039
APU0000708111,1987,M03,1987 Mar,0.800,-0.023
APU0000708111,1987,M04,1987 Apr,0.786,-0.014
APU0000708111,1987,M05,1987 May,0.763,-0.023
APU0000708111,1987,M06,1987 Jun,0.711,-0.052
APU0000708111,1987,M07,1987 Jul,0.763,0.052
APU0000708111,1987,M08,1987 Aug,0.730,-0.033
APU0000708111,1987,M09,1987 Sep,0.837,0.107
APU0000708111,1987,M10,1987 Oct,0.778,-0.059
APU0000708111,1987,M11,1987 Nov,0.805,0.027
APU0000708111,1987,M12,1987 Dec,0.733,-0.072
APU0000708111,1988,M01,1988 Jan,0.760,0.027
APU0000708111,1988,M02,1988 Feb,0.718,-0.042
APU0000708111,1988,M03,1988 Mar,0.740,0.022
APU0000708111,1988,M04,1988 Apr,0.719,-0.021
APU0000708111,1988,M05,1988 May,0.678,-0.041
APU0000708111,1988,M06,1988 Jun,0.705,0.027
APU0000708111,1988,M07,1988 Jul,0.803,0.098
APU0000708111,1988,M08,1988 Aug,0.909,0.106
APU0000708111,1988,M09,1988 Sep,0.874,-0.035
APU0000708111,1988,M10,1988 Oct,0.896,0.022
APU0000708111,1988,M11,1988 Nov,0.839,-0.057
APU0000708111,1988,M12,1988 Dec,0.833,-0.006
APU0000708111,1989,M01,1989 Jan,0.941,0.108
APU0000708111,1989,M02,1989 Feb,0.890,-0.051
APU0000708111,1989,M03,1989 Mar,1.031,0.141
APU0000708111,1989,M04,1989 Apr,0.997,-0.034
APU0000708111,1989,M05,1989 May,0.956,-0.041
APU0000708111,1989,M06,1989 Jun,0.937,-0.019
APU0000708111,1989,M07,1989 Jul,0.961,0.024
APU0000708111,1989,M08,1989 Aug,0.983,0.022
APU0000708111,1989,M09,1989 Sep,1.038,0.055
APU0000708111,1989,M10,1989 Oct,1.023,-0.015
APU0000708111,1989,M11,1989 Nov,1.080,0.057
APU0000708111,1989,M12,1989 Dec,1.137,0.057
APU0000708111,1990,M01,1990 Jan,1.223,0.086
APU0000708111,1990,M02,1990 Feb,1.041,-0.182
APU0000708111,1990,M03,1990 Mar,1.111,0.070
APU0000708111,1990,M04,1990 Apr,1.092,-0.019
APU0000708111,1990,M05,1990 May,0.940,-0.152
APU0000708111,1990,M06,1990 Jun,0.930,-0.010
APU0000708111,1990,M07,1990 Jul,0.899,-0.031
APU0000708111,1990,M08,1990 Aug,0.954,0.055
APU0000708111,1990,M09,1990 Sep,0.946,-0.008
APU0000708111,1990,M10,1990 Oct,1.012,0.066
APU0000708111,1990,M11,1990 Nov,1.018,0.006
APU0000708111,1990,M12,1990 Dec,1.001,-0.017
APU0000708111,1991,M01,1991 Jan,1.106,0.105
APU0000708111,1991,M02,1991 Feb,0.987,-0.119
APU0000708111,1991,M03,1991 Mar,1.069,0.082
APU0000708111,1991,M04,1991 Apr,1.002,-0.067
APU0000708111,1991,M05,1991 May,0.908,-0.094
APU0000708111,1991,M06,1991 Jun,0.884,-0.024
APU0000708111,1991,M07,1991 Jul,0.966,0.082
APU0000708111,1991,M08,1991 Aug,1.024,0.058
APU0000708111,1991,M09,1991 Sep,0.987,-0.037
APU0000708111,1991,M10,1991 Oct,0.976,-0.011
APU0000708111,1991,M11,1991 Nov,0.950,-0.026
APU0000708111,1991,M12,1991 Dec,1.012,0.062
APU0000708111,1992,M01,1992 Jan,0.933,-0.079
APU0000708111,1992,M02,1992 Feb,0.881,-0.052
APU0000708111,1992,M03,1992 Mar,0.850,-0.031
APU0000708111,1992,M04,1992 Apr,0.829,-0.021
APU0000708111,1992,M05,1992 May,0.836,0.007
APU0000708111,1992,M06,1992 Jun,0.801,-0.035
APU0000708111,1992,M07,1992 Jul,0.827,0.026
APU0000708111,1992,M08,1992 Aug,0.809,-0.018
APU0000708111,1992,M09,1992 Sep,0.873,0.064
APU0000708111,1992,M10,1992 Oct,0.858,-0.015
APU0000708111,1992,M11,1992 Nov,0.897,0.039
APU0000708111,1992,M12,1992 Dec,0.928,0.031
APU0000708111,1993,M01,1993 Jan,0.898,-0.030
APU0000708111,1993,M02,1993 Feb,0.895,-0.003
APU0000708111,1993,M03,1993 Mar,0.927,0.032
APU0000708111,1993,M04,1993 Apr,0.997,0.070
APU0000708111,1993,M05,1993 May,0.895,-0.102
APU0000708111,1993,M06,1993 Jun,0.921,0.026
APU0000708111,1993,M07,1993 Jul,0.900,-0.021
APU0000708111,1993,M08,1993 Aug,0.929,0.029
APU0000708111,1993,M09,1993 Sep,0.890,-0.039
APU0000708111,1993,M10,1993 Oct,0.897,0.007
APU0000708111,1993,M11,1993 Nov,0.917,0.020
APU0000708111,1993,M12,1993 Dec,0.871,-0.046
APU0000708111,1994,M01,1994 Jan,0.917,0.046
APU0000708111,1994,M02,1994 Feb,0.903,-0.014
APU0000708111,1994,M03,1994 Mar,0.926,0.023
APU0000708111,1994,M04,1994 Apr,0.861,-0.065
APU0000708111,1994,M05,1994 May,0.801,-0.060
APU0000708111,1994,M06,1994 Jun,0.841,0.040
APU0000708111,1994,M07,1994 Jul,0.815,-0.026
APU0000708111,1994,M08,1994 Aug,0.895,0.080
APU0000708111,1994,M09,1994 Sep,0.855,-0.040
APU0000708111,1994,M10,1994 Oct,0.810,-0.045
APU0000708111,1994,M11,1994 Nov,0.857,0.047
APU0000708111,1994,M12,1994 Dec,0.873,0.016
APU0000708111,1995,M01,1995 Jan,0.882,0.009
APU0000708111,1995,M02,1995 Feb,0.863,-0.019
APU0000708111,1995,M03,1995 Mar,0.875,0.012
APU0000708111,1995,M04,1995 Apr,0.833,-0.042
APU0000708111,1995,M05,1995 May,0.819,-0.014
APU0000708111,1995,M06,1995 Jun,0.825,0.006
APU0000708111,1995,M07,1995 Jul,0.879,0.054
APU0000708111,1995,M08,1995 Aug,0.984,0.105
APU0000708111,1995,M09,1995 Sep,0.956,-0.028
APU0000708111,1995,M10,1995 Oct,0.981,0.025
APU0000708111,1995,M11,1995 Nov,1.037,0.056
APU0000708111,1995,M12,1995 Dec,1.160,0.123
APU0000708111,1996,M01,1996 Jan,1.155,-0.005
APU0000708111,1996,M02,1996 Feb,1.091,-0.064
APU0000708111,1996,M03,1996 Mar,1.138,0.047
APU0000708111,1996,M04,1996 Apr,1.086,-0.052
APU0000708111,1996,M05,1996 May,1.021,-0.065
APU0000708111,1996,M06,1996 Jun,0.945,-0.076
APU0000708111,1996,M07,1996 Jul,1.042,0.097
APU0000708111,1996,M08,1996 Aug,1.072,0.030
APU0000708111,1996,M09,1996 Sep,1.150,0.078
APU0000708111,1996,M10,1996 Oct,1.129,-0.021
APU0000708111,1996,M11,1996 Nov,1.139,0.010
APU0000708111,1996,M12,1996 Dec,1.308,0.169
APU0000708111,1997,M01,1997 Jan,1.148,-0.160
APU0000708111,1997,M02,1997 Feb,1.132,-0.016
APU0000708111,1997,M03,1997 Mar,1.056,-0.076
APU0000708111,1997,M04,1997 Apr,1.081,0.025
APU0000708111,1997,M05,1997 May,1.002,-0.079
APU0000708111,1997,M06,1997 Jun,0.952,-0.050
APU0000708111,1997,M07,1997 Jul,0.979,0.027
APU0000708111,1997,M08,1997 Aug,1.061,0.082
APU0000708111,1997,M09,1997 Sep,1.009,-0.052
APU0000708111,1997,M10,1997 Oct,1.018,0.009
APU0000708111,1997,M11,1997 Nov,1.090,0.072
APU0000708111,1997,M12,1997 Dec,1.172,0.082
APU0000708111,1998,M01,1998 Jan,1.120,-0.052
APU0000708111,1998,M02,1998 Feb,1.073,-0.047
APU0000708111,1998,M03,1998 Mar,1.043,-0.030
APU0000708111,1998,M04,1998 Apr,1.061,0.018
APU0000708111,1998,M05,1998 May,0.960,-0.101
APU0000708111,1998,M06,1998 Jun,0.932,-0.028
APU0000708111,1998,M07,1998 Jul,0.971,0.039
APU0000708111,1998,M08,1998 Aug,1.053,0.082
APU0000708111,1998,M09,1998 Sep,1.022,-0.031
APU0000708111,1998,M10,1998 Oct,1.048,0.026
APU0000708111,1998,M11,1998 Nov,1.077,0.029
APU0000708111,1998,M12,1998 Dec,1.089,0.012
APU0000708111,1999,M01,1999 Jan,1.053,-0.036
APU0000708111,1999,M02,1999 Feb,1.078,0.025
APU0000708111,1999,M03,1999 Mar,1.005,-0.073
APU0000708111,1999,M04,1999 Apr,0.942,-0.063
APU0000708111,1999,M05,1999 May,0.900,-0.042
APU0000708111,1999,M06,1999 Jun,0.949,0.049
APU0000708111,1999,M07,1999 Jul,0.880,-0.069
APU0000708111,1999,M08,1999 Aug,1.020,0.140
APU0000708111,1999,M09,1999 Sep,0.956,-0.064
APU0000708111,1999,M10,1999 Oct,0.888,-0.068
APU0000708111,1999,M11,1999 Nov,0.920,0.032
APU0000708111,1999,M12,1999 Dec,0.920,0.000
APU0000708111,2000,M01,2000 Jan,0.975,0.055
APU0000708111,2000,M02,2000 Feb,0.962,-0.013
APU0000708111,2000,M03,2000 Mar,0.931,-0.031
APU0000708111,2000,M04,2000 Apr,0.939,0.008
APU0000708111,2000,M05,2000 May,0.852,-0.087
APU0000708111,2000,M06,2000 Jun,0.838,-0.014
APU0000708111,2000,M07,2000 Jul,0.868,0.030
APU0000708111,2000,M08,2000 Aug,0.893,0.025
APU0000708111,2000,M09,2000 Sep,0.920,0.027
APU0000708111,2000,M10,2000 Oct,0.923,0.003
APU0000708111,2000,M11,2000 Nov,0.902,-0.021
APU0000708111,2000,M12,2000 Dec,0.959,0.057
APU0000708111,2001,M01,2001 Jan,1.011,0.052
APU0000708111,2001,M02,2001 Feb,0.943,-0.068
APU0000708111,2001,M03,2001 Mar,0.886,-0.057
APU0000708111,2001,M04,2001 Apr,1.028,0.142
APU0000708111,2001,M05,2001 May,0.881,-0.147
APU0000708111,2001,M06,2001 Jun,0.920,0.039
APU0000708111,2001,M07,2001 Jul,0.862,-0.058
APU0000708111,2001,M08,2001 Aug,0.929,0.067
APU0000708111,2001,M09,2001 Sep,0.916,-0.013
APU0000708111,2001,M10,2001 Oct,0.916,0.000
APU0000708111,2001,M11,2001 Nov,0.935,0.019
APU0000708111,2001,M12,2001 Dec,0.925,-0.010
APU0000708111,2002,M01,2002 Jan,0.973,0.048
APU0000708111,2002,M02,2002 Feb,0.996,0.023
APU0000708111,2002,M03,2002 Mar,1.003,0.007
APU0000708111,2002,M04,2002 Apr,1.047,0.044
APU0000708111,2002,M05,2002 May,0.997,-0.050
APU0000708111,2002,M06,2002 Jun,0.975,-0.022
